module	source_id	source_fqcn	report_fqcn	runner	lane	variant_key	owner	discovered_test_nodes	runtime_deferred_containers	positive_sibling_execution_keys	disposition	rationale
addons/foggy-data-viewer	v934-src|108:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/controller/ViewerApiControllerTest.java	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	com.foggyframework.dataviewer.controller.ViewerApiControllerTest	surefire	unit	unit	addons/foggy-data-viewer	0	0	v934|8:surefire|4:unit|4:unit|79:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDataTests,v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryDirectTests,v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$GetQueryMetaTests,v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataviewer.controller.ViewerApiControllerTest$QueryMembersTests	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
addons/foggy-data-viewer	v934-src|98:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/mcp/OpenInViewerToolTest.java	com.foggyframework.dataviewer.mcp.OpenInViewerToolTest	com.foggyframework.dataviewer.mcp.OpenInViewerToolTest	surefire	unit	unit	addons/foggy-data-viewer	0	0	v934|8:surefire|4:unit|4:unit|68:com.foggyframework.dataviewer.mcp.OpenInViewerToolTest$MetadataTests,v934|8:surefire|4:unit|4:unit|69:com.foggyframework.dataviewer.mcp.OpenInViewerToolTest$ExecutionTests,v934|8:surefire|4:unit|4:unit|76:com.foggyframework.dataviewer.mcp.OpenInViewerToolTest$StreamingSupportTests	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
addons/foggy-data-viewer	v934-src|111:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/plugins/LargeResultTruncationStepTest.java	com.foggyframework.dataviewer.plugins.LargeResultTruncationStepTest	com.foggyframework.dataviewer.plugins.LargeResultTruncationStepTest	surefire	unit	unit	addons/foggy-data-viewer	0	0	v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataviewer.plugins.LargeResultTruncationStepTest$EdgeCaseTests,v934|8:surefire|4:unit|4:unit|84:com.foggyframework.dataviewer.plugins.LargeResultTruncationStepTest$NonMcpQueryTests,v934|8:surefire|4:unit|4:unit|87:com.foggyframework.dataviewer.plugins.LargeResultTruncationStepTest$AboveThresholdTests,v934|8:surefire|4:unit|4:unit|87:com.foggyframework.dataviewer.plugins.LargeResultTruncationStepTest$BelowThresholdTests	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
addons/foggy-data-viewer	v934-src|103:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/service/ListPresetServiceTest.java	com.foggyframework.dataviewer.service.ListPresetServiceTest	com.foggyframework.dataviewer.service.ListPresetServiceTest	surefire	unit	unit	addons/foggy-data-viewer	0	0	v934|8:surefire|4:unit|4:unit|74:com.foggyframework.dataviewer.service.ListPresetServiceTest$FileStoreTests	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
addons/foggy-data-viewer	v934-src|103:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/service/QueryCacheServiceTest.java	com.foggyframework.dataviewer.service.QueryCacheServiceTest	com.foggyframework.dataviewer.service.QueryCacheServiceTest	surefire	unit	unit	addons/foggy-data-viewer	0	0	v934|8:surefire|4:unit|4:unit|73:com.foggyframework.dataviewer.service.QueryCacheServiceTest$GetQueryTests,v934|8:surefire|4:unit|4:unit|75:com.foggyframework.dataviewer.service.QueryCacheServiceTest$CacheQueryTests,v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataviewer.service.QueryCacheServiceTest$QueryIdGenerationTests,v934|8:surefire|4:unit|4:unit|86:com.foggyframework.dataviewer.service.QueryCacheServiceTest$TableConfigGenerationTests,v934|8:surefire|4:unit|4:unit|88:com.foggyframework.dataviewer.service.QueryCacheServiceTest$UpdateEstimatedRowCountTests	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
addons/foggy-data-viewer	v934-src|113:addons/foggy-data-viewer/src/test/java/com/foggyframework/dataviewer/service/QueryScopeConstraintServiceTest.java	com.foggyframework.dataviewer.service.QueryScopeConstraintServiceTest	com.foggyframework.dataviewer.service.QueryScopeConstraintServiceTest	surefire	unit	unit	addons/foggy-data-viewer	0	0	v934|8:surefire|4:unit|4:unit|90:com.foggyframework.dataviewer.service.QueryScopeConstraintServiceTest$EnabledDisabledTests,v934|8:surefire|4:unit|4:unit|90:com.foggyframework.dataviewer.service.QueryScopeConstraintServiceTest$SliceValidationTests,v934|8:surefire|4:unit|4:unit|94:com.foggyframework.dataviewer.service.QueryScopeConstraintServiceTest$DateRangeConstraintTests,v934|8:surefire|4:unit|4:unit|94:com.foggyframework.dataviewer.service.QueryScopeConstraintServiceTest$ModelSpecificConfigTests	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
foggy-dataset	v934-src|87:foggy-dataset/src/test/java/com/foggyframework/dataset/db/dialect/DateTruncateTest.java	com.foggyframework.dataset.db.dialect.DateTruncateTest	com.foggyframework.dataset.db.dialect.DateTruncateTest	surefire	unit	unit	foggy-dataset	0	0	v934|8:surefire|4:unit|4:unit|65:com.foggyframework.dataset.db.dialect.DateTruncateTest$MysqlTests,v934|8:surefire|4:unit|4:unit|66:com.foggyframework.dataset.db.dialect.DateTruncateTest$SqliteTests,v934|8:surefire|4:unit|4:unit|68:com.foggyframework.dataset.db.dialect.DateTruncateTest$PostgresTests,v934|8:surefire|4:unit|4:unit|69:com.foggyframework.dataset.db.dialect.DateTruncateTest$SqlServerTests,v934|8:surefire|4:unit|4:unit|72:com.foggyframework.dataset.db.dialect.DateTruncateTest$CrossDialectTests	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
foggy-dataset-mcp	v934-src|101:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/controller/AdminMcpControllerTest.java	com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest	com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest	surefire	unit	unit	foggy-dataset-mcp	0	0	v934|8:surefire|4:unit|4:unit|73:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$PingTest,v934|8:surefire|4:unit|4:unit|78:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$ToolsCallTest,v934|8:surefire|4:unit|4:unit|78:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$ToolsListTest,v934|8:surefire|4:unit|4:unit|79:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$InitializeTest,v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$InvalidMethodTest,v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$RequestHeaderTest,v934|8:surefire|4:unit|4:unit|83:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$DirectToolCallTest,v934|8:surefire|4:unit|4:unit|86:com.foggyframework.dataset.mcp.controller.AdminMcpControllerTest$ExceptionHandlingTest	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
foggy-dataset-mcp	v934-src|103:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/controller/AnalystMcpControllerTest.java	com.foggyframework.dataset.mcp.controller.AnalystMcpControllerTest	com.foggyframework.dataset.mcp.controller.AnalystMcpControllerTest	surefire	unit	unit	foggy-dataset-mcp	0	0	v934|8:surefire|4:unit|4:unit|80:com.foggyframework.dataset.mcp.controller.AnalystMcpControllerTest$ToolsCallTest,v934|8:surefire|4:unit|4:unit|80:com.foggyframework.dataset.mcp.controller.AnalystMcpControllerTest$ToolsListTest,v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataset.mcp.controller.AnalystMcpControllerTest$ExportToolTest,v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataset.mcp.controller.AnalystMcpControllerTest$InitializeTest	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
foggy-dataset-mcp	v934-src|104:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/controller/BusinessMcpControllerTest.java	com.foggyframework.dataset.mcp.controller.BusinessMcpControllerTest	com.foggyframework.dataset.mcp.controller.BusinessMcpControllerTest	surefire	unit	unit	foggy-dataset-mcp	0	0	v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataset.mcp.controller.BusinessMcpControllerTest$ToolsCallTest,v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataset.mcp.controller.BusinessMcpControllerTest$ToolsListTest,v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataset.mcp.controller.BusinessMcpControllerTest$InitializeTest	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
foggy-dataset-mcp	v934-src|90:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/McpServiceTest.java	com.foggyframework.dataset.mcp.service.McpServiceTest	com.foggyframework.dataset.mcp.service.McpServiceTest	surefire	unit	unit	foggy-dataset-mcp	0	0	v934|8:surefire|4:unit|4:unit|68:com.foggyframework.dataset.mcp.service.McpServiceTest$HandlePingTest,v934|8:surefire|4:unit|4:unit|73:com.foggyframework.dataset.mcp.service.McpServiceTest$HandleToolsCallTest,v934|8:surefire|4:unit|4:unit|73:com.foggyframework.dataset.mcp.service.McpServiceTest$HandleToolsListTest,v934|8:surefire|4:unit|4:unit|74:com.foggyframework.dataset.mcp.service.McpServiceTest$HandleInitializeTest,v934|8:surefire|4:unit|4:unit|78:com.foggyframework.dataset.mcp.service.McpServiceTest$HandleDirectToolCallTest	reviewed-structural-container	outer ClassSource has zero direct nodes and is represented by positive nested sibling reports
